VAR_CODE;VAR_LIB;MOD_CODE;MOD_LIB
AEMM;"Année d'emménagement dans le logement (détaillée)";1900;"Année  1900"
AEMM;"Année d'emménagement dans le logement (détaillée)";1901;"Année  1901"
AEMM;"Année d'emménagement dans le logement (détaillée)";1902;"Année  1902"
AEMM;"Année d'emménagement dans le logement (détaillée)";1903;"Année  1903"
AEMM;"Année d'emménagement dans le logement (détaillée)";1904;"Année  1904"
AEMM;"Année d'emménagement dans le logement (détaillée)";1905;"Année  1905"
AEMM;"Année d'emménagement dans le logement (détaillée)";1906;"Année  1906"
AEMM;"Année d'emménagement dans le logement (détaillée)";1907;"Année  1907"
AEMM;"Année d'emménagement dans le logement (détaillée)";1908;"Année  1908"
AEMM;"Année d'emménagement dans le logement (détaillée)";1909;"Année  1909"
AEMM;"Année d'emménagement dans le logement (détaillée)";1910;"Année  1910"
AEMM;"Année d'emménagement dans le logement (détaillée)";1911;"Année  1911"
AEMM;"Année d'emménagement dans le logement (détaillée)";1912;"Année  1912"
AEMM;"Année d'emménagement dans le logement (détaillée)";1913;"Année  1913"
AEMM;"Année d'emménagement dans le logement (détaillée)";1914;"Année  1914"
AEMM;"Année d'emménagement dans le logement (détaillée)";1915;"Année  1915"
AEMM;"Année d'emménagement dans le logement (détaillée)";1916;"Année  1916"
AEMM;"Année d'emménagement dans le logement (détaillée)";1917;"Année  1917"
AEMM;"Année d'emménagement dans le logement (détaillée)";1918;"Année  1918"
AEMM;"Année d'emménagement dans le logement (détaillée)";1919;"Année  1919"
AEMM;"Année d'emménagement dans le logement (détaillée)";1920;"Année  1920"
AEMM;"Année d'emménagement dans le logement (détaillée)";1921;"Année  1921"
AEMM;"Année d'emménagement dans le logement (détaillée)";1922;"Année  1922"
AEMM;"Année d'emménagement dans le logement (détaillée)";1923;"Année  1923"
AEMM;"Année d'emménagement dans le logement (détaillée)";1924;"Année  1924"
AEMM;"Année d'emménagement dans le logement (détaillée)";1925;"Année  1925"
AEMM;"Année d'emménagement dans le logement (détaillée)";1926;"Année  1926"
AEMM;"Année d'emménagement dans le logement (détaillée)";1927;"Année  1927"
AEMM;"Année d'emménagement dans le logement (détaillée)";1928;"Année  1928"
AEMM;"Année d'emménagement dans le logement (détaillée)";1929;"Année  1929"
AEMM;"Année d'emménagement dans le logement (détaillée)";1930;"Année  1930"
AEMM;"Année d'emménagement dans le logement (détaillée)";1931;"Année  1931"
AEMM;"Année d'emménagement dans le logement (détaillée)";1932;"Année  1932"
AEMM;"Année d'emménagement dans le logement (détaillée)";1933;"Année  1933"
AEMM;"Année d'emménagement dans le logement (détaillée)";1934;"Année  1934"
AEMM;"Année d'emménagement dans le logement (détaillée)";1935;"Année  1935"
AEMM;"Année d'emménagement dans le logement (détaillée)";1936;"Année  1936"
AEMM;"Année d'emménagement dans le logement (détaillée)";1937;"Année  1937"
AEMM;"Année d'emménagement dans le logement (détaillée)";1938;"Année  1938"
AEMM;"Année d'emménagement dans le logement (détaillée)";1939;"Année  1939"
AEMM;"Année d'emménagement dans le logement (détaillée)";1940;"Année  1940"
AEMM;"Année d'emménagement dans le logement (détaillée)";1941;"Année  1941"
AEMM;"Année d'emménagement dans le logement (détaillée)";1942;"Année  1942"
AEMM;"Année d'emménagement dans le logement (détaillée)";1943;"Année  1943"
AEMM;"Année d'emménagement dans le logement (détaillée)";1944;"Année  1944"
AEMM;"Année d'emménagement dans le logement (détaillée)";1945;"Année  1945"
AEMM;"Année d'emménagement dans le logement (détaillée)";1946;"Année  1946"
AEMM;"Année d'emménagement dans le logement (détaillée)";1947;"Année  1947"
AEMM;"Année d'emménagement dans le logement (détaillée)";1948;"Année  1948"
AEMM;"Année d'emménagement dans le logement (détaillée)";1949;"Année  1949"
AEMM;"Année d'emménagement dans le logement (détaillée)";1950;"Année  1950"
AEMM;"Année d'emménagement dans le logement (détaillée)";1951;"Année  1951"
AEMM;"Année d'emménagement dans le logement (détaillée)";1952;"Année  1952"
AEMM;"Année d'emménagement dans le logement (détaillée)";1953;"Année  1953"
AEMM;"Année d'emménagement dans le logement (détaillée)";1954;"Année  1954"
AEMM;"Année d'emménagement dans le logement (détaillée)";1955;"Année  1955"
AEMM;"Année d'emménagement dans le logement (détaillée)";1956;"Année  1956"
AEMM;"Année d'emménagement dans le logement (détaillée)";1957;"Année  1957"
AEMM;"Année d'emménagement dans le logement (détaillée)";1958;"Année  1958"
AEMM;"Année d'emménagement dans le logement (détaillée)";1959;"Année  1959"
AEMM;"Année d'emménagement dans le logement (détaillée)";1960;"Année  1960"
AEMM;"Année d'emménagement dans le logement (détaillée)";1961;"Année  1961"
AEMM;"Année d'emménagement dans le logement (détaillée)";1962;"Année  1962"
AEMM;"Année d'emménagement dans le logement (détaillée)";1963;"Année  1963"
AEMM;"Année d'emménagement dans le logement (détaillée)";1964;"Année  1964"
AEMM;"Année d'emménagement dans le logement (détaillée)";1965;"Année  1965"
AEMM;"Année d'emménagement dans le logement (détaillée)";1966;"Année  1966"
AEMM;"Année d'emménagement dans le logement (détaillée)";1967;"Année  1967"
AEMM;"Année d'emménagement dans le logement (détaillée)";1968;"Année  1968"
AEMM;"Année d'emménagement dans le logement (détaillée)";1969;"Année  1969"
AEMM;"Année d'emménagement dans le logement (détaillée)";1970;"Année  1970"
AEMM;"Année d'emménagement dans le logement (détaillée)";1971;"Année  1971"
AEMM;"Année d'emménagement dans le logement (détaillée)";1972;"Année  1972"
AEMM;"Année d'emménagement dans le logement (détaillée)";1973;"Année  1973"
AEMM;"Année d'emménagement dans le logement (détaillée)";1974;"Année  1974"
AEMM;"Année d'emménagement dans le logement (détaillée)";1975;"Année  1975"
AEMM;"Année d'emménagement dans le logement (détaillée)";1976;"Année  1976"
AEMM;"Année d'emménagement dans le logement (détaillée)";1977;"Année  1977"
AEMM;"Année d'emménagement dans le logement (détaillée)";1978;"Année  1978"
AEMM;"Année d'emménagement dans le logement (détaillée)";1979;"Année  1979"
AEMM;"Année d'emménagement dans le logement (détaillée)";1980;"Année  1980"
AEMM;"Année d'emménagement dans le logement (détaillée)";1981;"Année  1981"
AEMM;"Année d'emménagement dans le logement (détaillée)";1982;"Année  1982"
AEMM;"Année d'emménagement dans le logement (détaillée)";1983;"Année  1983"
AEMM;"Année d'emménagement dans le logement (détaillée)";1984;"Année  1984"
AEMM;"Année d'emménagement dans le logement (détaillée)";1985;"Année  1985"
AEMM;"Année d'emménagement dans le logement (détaillée)";1986;"Année  1986"
AEMM;"Année d'emménagement dans le logement (détaillée)";1987;"Année  1987"
AEMM;"Année d'emménagement dans le logement (détaillée)";1988;"Année  1988"
AEMM;"Année d'emménagement dans le logement (détaillée)";1989;"Année  1989"
AEMM;"Année d'emménagement dans le logement (détaillée)";1990;"Année  1990"
AEMM;"Année d'emménagement dans le logement (détaillée)";1991;"Année  1991"
AEMM;"Année d'emménagement dans le logement (détaillée)";1992;"Année  1992"
AEMM;"Année d'emménagement dans le logement (détaillée)";1993;"Année  1993"
AEMM;"Année d'emménagement dans le logement (détaillée)";1994;"Année  1994"
AEMM;"Année d'emménagement dans le logement (détaillée)";1995;"Année  1995"
AEMM;"Année d'emménagement dans le logement (détaillée)";1996;"Année  1996"
AEMM;"Année d'emménagement dans le logement (détaillée)";1997;"Année  1997"
AEMM;"Année d'emménagement dans le logement (détaillée)";1998;"Année  1998"
AEMM;"Année d'emménagement dans le logement (détaillée)";1999;"Année  1999"
AEMM;"Année d'emménagement dans le logement (détaillée)";2000;"Année  2000"
AEMM;"Année d'emménagement dans le logement (détaillée)";2001;"Année  2001"
AEMM;"Année d'emménagement dans le logement (détaillée)";2002;"Année  2002"
AEMM;"Année d'emménagement dans le logement (détaillée)";2003;"Année  2003"
AEMM;"Année d'emménagement dans le logement (détaillée)";2004;"Année  2004"
AEMM;"Année d'emménagement dans le logement (détaillée)";2005;"Année  2005"
AEMM;"Année d'emménagement dans le logement (détaillée)";2006;"Année  2006"
AEMM;"Année d'emménagement dans le logement (détaillée)";2007;"Année  2007"
AEMM;"Année d'emménagement dans le logement (détaillée)";2008;"Année  2008"
AEMM;"Année d'emménagement dans le logement (détaillée)";2009;"Année  2009"
AEMM;"Année d'emménagement dans le logement (détaillée)";2010;"Année  2010"
AEMM;"Année d'emménagement dans le logement (détaillée)";2011;"Année  2011"
AEMM;"Année d'emménagement dans le logement (détaillée)";2012;"Année  2012"
AEMM;"Année d'emménagement dans le logement (détaillée)";2013;"Année  2013 (partiel)"
AEMM;"Année d'emménagement dans le logement (détaillée)";2014;"Année  2014 (partiel)"
AEMM;"Année d'emménagement dans le logement (détaillée)";2015;"Année  2015 (partiel)"
AEMM;"Année d'emménagement dans le logement (détaillée)";2016;"Année  2016 (partiel)"
AEMM;"Année d'emménagement dans le logement (détaillée)";2016;"Année  2017 (partiel)"
AEMM;"Année d'emménagement dans le logement (détaillée)";ZZZZ;"Hors logement ordinaire"
AEMMR;"Année d'emménagement dans le logement (regroupée)";0;"Logement ordinaire inoccupé"
AEMMR;"Année d'emménagement dans le logement (regroupée)";1;"Emménagement entre 1890 et 1899"
AEMMR;"Année d'emménagement dans le logement (regroupée)";2;"Emménagement entre 1900 et 1919"
AEMMR;"Année d'emménagement dans le logement (regroupée)";3;"Emménagement entre 1920 et 1939"
AEMMR;"Année d'emménagement dans le logement (regroupée)";4;"Emménagement entre 1940 et 1959"
AEMMR;"Année d'emménagement dans le logement (regroupée)";5;"Emménagement entre 1960 et 1969"
AEMMR;"Année d'emménagement dans le logement (regroupée)";6;"Emménagement entre 1970 et 1979"
AEMMR;"Année d'emménagement dans le logement (regroupée)";7;"Emménagement entre 1980 et 1989"
AEMMR;"Année d'emménagement dans le logement (regroupée)";8;"Emménagement entre 1990 et 1999"
AEMMR;"Année d'emménagement dans le logement (regroupée)";9;"Emménagement après 1999"
AEMMR;"Année d'emménagement dans le logement (regroupée)";Z;"Hors logement ordinaire"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";00;"Moins de 15 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";15;"15 à 19 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";20;"20 à 24 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";25;"25 à 39 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";40;"40 à 54 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";55;"55 à 64 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";65;"65 à 79 ans"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";80;"80 ans ou plus"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";YY;"Hors résidence principale"
AGEMEN8;"Âge regroupé de la personne de référence du ménage en 8 classes d'âge";ZZ;"Hors logement ordinaire"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";000;"Depuis 0 an"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";001;"Depuis 1 an"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";002;"Depuis 2 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";003;"Depuis 3 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";004;"Depuis 4 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";005;"Depuis 5 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";006;"Depuis 6 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";007;"Depuis 7 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";008;"Depuis 8 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";009;"Depuis 9 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";010;"Depuis 10 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";011;"Depuis 11 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";012;"Depuis 12 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";013;"Depuis 13 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";014;"Depuis 14 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";015;"Depuis 15 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";016;"Depuis 16 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";017;"Depuis 17 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";018;"Depuis 18 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";019;"Depuis 19 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";020;"Depuis 20 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";021;"Depuis 21 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";022;"Depuis 22 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";023;"Depuis 23 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";024;"Depuis 24 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";025;"Depuis 25 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";026;"Depuis 26 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";027;"Depuis 27 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";028;"Depuis 28 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";029;"Depuis 29 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";030;"Depuis 30 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";031;"Depuis 31 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";032;"Depuis 32 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";033;"Depuis 33 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";034;"Depuis 34 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";035;"Depuis 35 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";036;"Depuis 36 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";037;"Depuis 37 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";038;"Depuis 38 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";039;"Depuis 39 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";040;"Depuis 40 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";041;"Depuis 41 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";042;"Depuis 42 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";043;"Depuis 43 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";044;"Depuis 44 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";045;"Depuis 45 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";046;"Depuis 46 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";047;"Depuis 47 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";048;"Depuis 48 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";049;"Depuis 49 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";050;"Depuis 50 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";051;"Depuis 51 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";052;"Depuis 52 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";053;"Depuis 53 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";054;"Depuis 54 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";055;"Depuis 55 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";056;"Depuis 56 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";057;"Depuis 57 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";058;"Depuis 58 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";059;"Depuis 59 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";060;"Depuis 60 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";061;"Depuis 61 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";062;"Depuis 62 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";063;"Depuis 63 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";064;"Depuis 64 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";065;"Depuis 65 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";066;"Depuis 66 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";067;"Depuis 67 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";068;"Depuis 68 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";069;"Depuis 69 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";070;"Depuis 70 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";071;"Depuis 71 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";072;"Depuis 72 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";073;"Depuis 73 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";074;"Depuis 74 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";075;"Depuis 75 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";076;"Depuis 76 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";077;"Depuis 77 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";078;"Depuis 78 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";079;"Depuis 79 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";080;"Depuis 80 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";081;"Depuis 81 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";082;"Depuis 82 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";083;"Depuis 83 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";084;"Depuis 84 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";085;"Depuis 85 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";086;"Depuis 86 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";087;"Depuis 87 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";088;"Depuis 88 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";089;"Depuis 89 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";090;"Depuis 90 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";091;"Depuis 91 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";092;"Depuis 92 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";093;"Depuis 93 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";094;"Depuis 94 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";095;"Depuis 95 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";096;"Depuis 96 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";097;"Depuis 97 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";098;"Depuis 98 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";099;"Depuis 99 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";100;"Depuis 100 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";101;"Depuis 101 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";102;"Depuis 102 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";103;"Depuis 103 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";104;"Depuis 104 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";105;"Depuis 105 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";106;"Depuis 106 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";107;"Depuis 107 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";108;"Depuis 108 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";109;"Depuis 109 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";110;"Depuis 110 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";111;"Depuis 111 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";112;"Depuis 112 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";113;"Depuis 113 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";114;"Depuis 114 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";115;"Depuis 115 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";116;"Depuis 116 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";117;"Depuis 117 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";118;"Depuis 118 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";119;"Depuis 119 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";120;"Depuis 120 ans"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";999;"Logement ordinaire inoccupé"
ANEM;"Ancienneté d'emménagement dans le logement (détaillée)";ZZZ;"Hors logement ordinaire"
ANEMR;"Ancienneté d'emménagement dans le logement (regroupée)";00;"Moins de 2 ans"
ANEMR;"Ancienneté d'emménagement dans le logement (regroupée)";01;"De 2 à 4 ans"
ANEMR;"Ancienneté d'emménagement dans le logement (regroupée)";02;"De 5 à 9 ans"
ANEMR;"Ancienneté d'emménagement dans le logement (regroupée)";03;"De 10 à 19 ans"
ANEMR;"Ancienneté d'emménagement dans le logement (regroupée)";04;"De 20 à 29 ans"
ANEMR;"Ancienneté d'emménagement dans le logement (regroupée)";05;"De 30 à 39 ans"
ANEMR;"Ancienneté d'emménagement dans le logement (regroupée)";06;"De 40 à 49 ans"
ANEMR;"Ancienneté d'emménagement dans le logement (regroupée)";07;"De 50 à 59 ans"
ANEMR;"Ancienneté d'emménagement dans le logement (regroupée)";08;"De 60 à 69 ans"
ANEMR;"Ancienneté d'emménagement dans le logement (regroupée)";09;"70 ans ou plus"
ANEMR;"Ancienneté d'emménagement dans le logement (regroupée)";99;"Logement ordinaire inoccupé"
ANEMR;"Ancienneté d'emménagement dans le logement (regroupée)";ZZ;"Hors logement ordinaire"
ASCEN;"Desserte par un ascenseur";1;"Avec ascenseur"
ASCEN;"Desserte par un ascenseur";2;"Sans ascenseur"
ASCEN;"Desserte par un ascenseur";Z;"Hors logement ordinaire"
BAIN;"Baignoire ou douche (DOM)";1;"Avec baignoire ou douche"
BAIN;"Baignoire ou douche (DOM)";2;"Sans baignoire ni douche"
BAIN;"Baignoire ou douche (DOM)";X;"Hors logement ordinaire (DOM et France métropolitaine)"
BAIN;"Baignoire ou douche (DOM)";Z;"Logement ordinaire France métropolitaine"
BATI;"Aspect du bâti (DOM)";1;"Habitations de fortune"
BATI;"Aspect du bâti (DOM)";2;"Cases traditionnelles"
BATI;"Aspect du bâti (DOM)";3;"Maisons ou immeubles en bois"
BATI;"Aspect du bâti (DOM)";4;"Maisons ou immeubles en dur"
BATI;"Aspect du bâti (DOM)";X;"Hors logement ordinaire (DOM et France métropolitaine)"
BATI;"Aspect du bâti (DOM)";Z;"Logement ordinaire France métropolitaine"
CATIRIS;"Catégorie de l'IRIS";A;"Activité"
CATIRIS;"Catégorie de l'IRIS";D;"Divers"
CATIRIS;"Catégorie de l'IRIS";H;"Habitat"
CATIRIS;"Catégorie de l'IRIS";X;"IRIS de moins de 200 habitants (fichier individus "localisation au canton-ou-ville" uniquement)"
CATIRIS;"Catégorie de l'IRIS";Z;"Commune non découpée en IRIS"
CATL;"Catégorie de logement";1;"Résidences principales"
CATL;"Catégorie de logement";2;"Logements occasionnels"
CATL;"Catégorie de logement";3;"Résidences secondaires"
CATL;"Catégorie de logement";4;"Logements vacants"
CATL;"Catégorie de logement";Z;"Hors logement ordinaire"
CHAU;"Moyen de chauffage du logement (DOM)";1;"Présence de moyen de chauffage"
CHAU;"Moyen de chauffage du logement (DOM)";2;"Absence de moyen de chauffage"
CHAU;"Moyen de chauffage du logement (DOM)";X;"Hors logement ordinaire (DOM et France métropolitaine)"
CHAU;"Moyen de chauffage du logement (DOM)";Z;"Logement ordinaire France métropolitaine"
CHFL;"Chauffage central du logement (France métropolitaine)";1;"Chauffage central collectif (y compris chauffage urbain)"
CHFL;"Chauffage central du logement (France métropolitaine)";2;"Chauffage central individuel avec une chaudière propre au logement"
CHFL;"Chauffage central du logement (France métropolitaine)";3;"Chauffage tout électrique"
CHFL;"Chauffage central du logement (France métropolitaine)";4;"Autre moyen de chauffage"
